Timestamp,kW
2022-10-13 09:00:00,3.907
2022-10-13 09:30:00,4.308
2022-10-13 10:00:00,4.376
2022-10-13 10:30:00,3.223
2022-10-13 11:00:00,1.355
2022-10-13 11:30:00,1.21
2022-10-13 12:00:00,1.762
2022-10-13 12:30:00,1.652
2022-10-13 13:00:00,1.287
2022-10-13 13:30:00,1.923
2022-10-13 14:00:00,3.467
2022-10-13 14:30:00,3.032
2022-10-13 15:00:00,2.375
2022-10-13 15:30:00,1.834
2022-10-13 16:00:00,1.32
2022-10-13 16:30:00,0.415
2022-10-13 17:00:00,0.232
2022-10-13 17:30:00,0.106
2022-10-13 18:00:00,0.051
2022-10-13 18:30:00,0.051
2022-10-13 19:00:00,0.0
2022-10-14 06:00:00,0.228
2022-10-14 06:30:00,0.421
2022-10-14 07:00:00,0.341
2022-10-14 07:30:00,2.004
2022-10-14 08:00:00,3.29
2022-10-14 08:30:00,1.13
2022-10-14 09:00:00,1.315
2022-10-14 09:30:00,4.12
2022-10-14 10:00:00,1.218
2022-10-14 10:30:00,4.054
2022-10-14 11:00:00,2.349
2022-10-14 11:30:00,2.172
2022-10-14 12:00:00,2.197
2022-10-14 12:30:00,2.654
2022-10-14 13:00:00,1.553
2022-10-14 13:30:00,1.765
2022-10-14 14:00:00,1.907
2022-10-14 14:30:00,2.831
2022-10-14 15:00:00,2.525
2022-10-14 15:30:00,2.017
2022-10-14 16:00:00,1.301
2022-10-14 16:30:00,0.564
2022-10-14 17:00:00,0.215
2022-10-14 17:30:00,0.097
2022-10-14 18:00:00,0.049
2022-10-14 18:30:00,0.049
2022-10-14 19:00:00,0.0
2022-10-15 06:00:00,0.193
2022-10-15 06:30:00,0.992
2022-10-15 07:00:00,0.8
2022-10-15 07:30:00,1.424
2022-10-15 08:00:00,1.613
2022-10-15 08:30:00,1.43
2022-10-15 09:00:00,0.42
2022-10-15 09:30:00,0.551
2022-10-15 10:00:00,0.9
2022-10-15 10:30:00,1.566
2022-10-15 11:00:00,1.862
2022-10-15 11:30:00,4.835
2022-10-15 12:00:00,2.185
2022-10-15 12:30:00,3.207
2022-10-15 13:00:00,4.58
2022-10-15 13:30:00,2.606
2022-10-15 14:00:00,1.359
2022-10-15 14:30:00,3.465
2022-10-15 15:00:00,1.281
2022-10-15 15:30:00,0.846
2022-10-15 16:00:00,0.479
2022-10-15 16:30:00,0.669
2022-10-15 17:00:00,0.151
2022-10-15 17:30:00,0.088
2022-10-15 18:00:00,0.047
2022-10-15 18:30:00,0.047
2022-10-15 19:00:00,0.0
2022-10-16 06:00:00,0.235
2022-10-16 06:30:00,0.663
2022-10-16 07:00:00,0.982
2022-10-16 07:30:00,2.134
2022-10-16 08:00:00,2.635
2022-10-16 08:30:00,1.086
2022-10-16 09:00:00,1.267
2022-10-16 09:30:00,1.228
2022-10-16 10:00:00,1.43
2022-10-16 10:30:00,1.331
2022-10-16 11:00:00,1.857
2022-10-16 11:30:00,5.18
2022-10-16 12:00:00,2.052
2022-10-16 12:30:00,4.65
2022-10-16 13:00:00,1.614
2022-10-16 13:30:00,1.941
2022-10-16 14:00:00,1.749
2022-10-16 14:30:00,1.448
2022-10-16 15:00:00,1.151
2022-10-16 15:30:00,2.507
2022-10-16 16:00:00,0.465
2022-10-16 16:30:00,0.69
2022-10-16 17:00:00,0.149
2022-10-16 17:30:00,0.098
2022-10-16 18:00:00,0.046
2022-10-16 18:30:00,0.046
2022-10-16 19:00:00,0.0
2022-10-17 06:00:00,0.24
2022-10-17 06:30:00,0.794
2022-10-17 07:00:00,1.03
2022-10-17 07:30:00,2.279
2022-10-17 08:00:00,2.389
2022-10-17 08:30:00,3.523
2022-10-17 09:00:00,1.299
2022-10-17 09:30:00,4.943
2022-10-17 10:00:00,4.778
2022-10-17 10:30:00,0.895
2022-10-17 11:00:00,1.358
2022-10-17 11:30:00,0.602
2022-10-17 12:00:00,0.695
2022-10-17 12:30:00,4.011
2022-10-17 13:00:00,5.066
2022-10-17 13:30:00,4.046
2022-10-17 14:00:00,4.164
2022-10-17 14:30:00,2.671
2022-10-17 15:00:00,2.666
2022-10-17 15:30:00,1.944
2022-10-17 16:00:00,1.152
2022-10-17 16:30:00,0.663
2022-10-17 17:00:00,0.205
2022-10-17 17:30:00,0.083
2022-10-17 18:00:00,0.046
2022-10-17 18:30:00,0.046
2022-10-17 19:00:00,0.0
2022-10-18 06:00:00,0.293
2022-10-18 06:30:00,0.806
2022-10-18 07:00:00,0.701
2022-10-18 07:30:00,0.989
2022-10-18 08:00:00,1.176
2022-10-18 08:30:00,0.511
2022-10-18 09:00:00,2.984
2022-10-18 09:30:00,1.941
2022-10-18 10:00:00,1.376
2022-10-18 10:30:00,3.68
2022-10-18 11:00:00,2.687
2022-10-18 11:30:00,0.748
2022-10-18 12:00:00,1.166
2022-10-18 12:30:00,0.527
2022-10-18 13:00:00,1.501
2022-10-18 13:30:00,0.944
2022-10-18 14:00:00,1.023
2022-10-18 14:30:00,0.537
2022-10-18 15:00:00,0.812
2022-10-18 15:30:00,0.68
2022-10-18 16:00:00,0.543
2022-10-18 16:30:00,0.235
2022-10-18 17:00:00,0.15
2022-10-18 17:30:00,0.107
2022-10-18 18:00:00,0.048
2022-10-18 18:30:00,0.048
2022-10-18 19:00:00,0.0
