Date,Capacity(kW),Generation(kWh),Income
2025-03-17,97.01,380.3,357.48
2025-03-18,97.01,309.4,290.84
2025-03-19,97.01,476.2,447.63
2025-03-20,97.01,263.8,247.97
2025-03-21,97.01,348.5,327.59
2025-03-22,97.01,334.0,313.96
2025-03-23,97.01,360.9,339.25
2025-03-24,97.01,320.2,300.99
2025-03-25,97.01,478.1,449.41
2025-03-26,97.01,124.1,116.65
2025-03-27,97.01,294.0,276.36
2025-03-28,97.01,455.6,428.26
2025-03-29,97.01,477.3,448.66
2025-03-30,97.01,402.5,378.35
2025-03-31,97.01,378.5,355.79
2025-04-01,97.01,308.3,289.8
2025-04-02,97.01,290.0,272.6
2025-04-03,97.01,333.7,313.68
2025-04-04,97.01,367.6,345.54
2025-04-05,97.01,358.6,337.08
2025-04-06,97.01,343.1,322.51
2025-04-07,97.01,239.7,225.32
2025-04-08,97.01,336.2,316.03
2025-04-09,97.01,314.1,295.25
2025-04-10,97.01,293.6,275.98
2025-04-11,97.01,323.8,304.37
2025-04-12,97.01,409.5,384.93
2025-04-13,97.01,402.8,378.63
2025-04-14,97.01,356.8,335.39
2025-04-15,97.01,422.2,396.87
2025-04-16,97.01,236.9,222.69
2025-04-17,97.01,130.0,122.2
2025-04-18,97.01,152.8,143.63
2025-04-19,97.01,203.5,191.29
2025-04-20,97.01,362.9,341.13
2025-04-21,97.01,292.8,275.23
2025-04-22,97.01,144.2,135.55
2025-04-23,97.01,226.5,212.91
2025-04-24,97.01,348.0,327.12
2025-04-25,97.01,260.1,244.49
2025-04-26,97.01,329.7,309.92
2025-04-27,97.01,352.7,331.54
2025-04-28,97.01,359.1,337.55
2025-04-29,97.01,308.8,290.27
2025-04-30,97.01,98.4,92.5
2025-05-01,97.01,169.9,159.71
2025-05-02,97.01,355.6,334.26
2025-05-03,97.01,344.5,323.83
2025-05-04,97.01,356.2,334.83
2025-05-05,97.01,276.2,259.63
2025-05-06,97.01,243.4,228.8
2025-05-07,97.01,276.1,259.53
2025-05-08,97.01,231.8,217.89
2025-05-09,97.01,345.0,324.3
2025-05-10,97.01,327.8,308.13
2025-05-11,97.01,328.6,308.88
2025-05-12,97.01,209.6,197.02
2025-05-13,97.01,187.4,176.16
2025-05-14,97.01,222.9,209.53
2025-05-15,97.01,270.7,254.46
2025-05-16,97.01,230.4,216.58
2025-05-17,97.01,292.2,274.67
2025-05-18,97.01,277.9,261.23
2025-05-19,97.01,254.5,239.23
2025-05-20,97.01,303.3,285.1
2025-05-21,97.01,132.2,124.27
2025-05-22,97.01,238.5,224.19
2025-05-23,97.01,350.4,329.38
2025-05-24,97.01,322.0,302.68
2025-05-25,97.01,244.6,229.92
2025-05-26,97.01,192.3,180.76
2025-05-27,97.01,258.8,243.27
2025-05-28,97.01,211.6,198.9
2025-05-29,97.01,176.3,165.72
2025-05-30,97.01,184.0,172.96
2025-05-31,97.01,195.3,183.58
2025-06-01,97.01,228.1,214.41
2025-06-02,97.01,198.7,186.78
2025-06-03,97.01,223.1,209.71
2025-06-04,97.01,327.6,307.94
2025-06-05,97.01,343.9,323.27
2025-06-06,97.01,332.2,312.27
2025-06-07,97.01,217.1,204.07
2025-06-08,97.01,309.8,291.21
2025-06-09,97.01,323.2,303.81
2025-06-10,97.01,231.6,217.7
2025-06-11,97.01,139.9,131.51
2025-06-12,97.01,272.0,255.68
2025-06-13,97.01,251.5,236.41
2025-06-14,97.01,320.8,301.55
2025-06-15,97.01,194.6,182.92
2025-06-16,97.01,211.7,199.0
2025-06-17,97.01,281.4,264.52
2025-06-18,97.01,256.8,241.39
2025-06-19,97.01,185.6,174.46
2025-06-20,97.01,301.6,283.5
2025-06-21,97.01,334.4,314.34
2025-06-22,97.01,317.3,298.26
2025-06-23,97.01,282.7,265.74
2025-06-24,97.01,323.2,303.81
2025-06-25,97.01,196.5,184.71
2025-06-26,97.01,264.6,248.72
2025-06-27,97.01,282.8,265.83
2025-06-28,97.01,192.6,181.04
2025-06-29,97.01,319.7,300.52
2025-06-30,97.01,339.1,318.75
2025-07-01,97.01,286.5,269.31
2025-07-02,97.01,145.1,136.39
2025-07-03,97.01,115.6,108.66
2025-07-04,97.01,243.8,229.17
2025-07-05,97.01,322.0,302.68
2025-07-06,97.01,348.2,327.31
2025-07-07,97.01,333.8,313.77
2025-07-08,97.01,200.4,188.38
2025-07-09,97.01,183.2,172.21
2025-07-10,97.01,247.7,232.84
2025-07-11,97.01,207.0,194.58
2025-07-12,97.01,244.9,230.21
2025-07-13,97.01,295.5,277.77
2025-07-14,97.01,286.3,269.12
2025-07-15,97.01,282.2,265.27
2025-07-16,97.01,333.1,313.11
