,Capacity(kW),Generation(kWh),Income,GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,cloud_clear_mean,cloud_medium_mean,cloud_dense_mean,cloud_extreme_mean,sin_day,cos_day
2024-03-16,97.01,468.7,440.58,7142,8553,1171,27.6875,32.300000000000004,83.61166666666666,0.0,0.5416666666666666,0.4583333333333333,0.0,0.0,0.9648061359537645,0.2629622026565149
2024-03-17,97.01,501.2,471.13,7181,8765,1111,28.712500000000002,33.800000000000004,83.74416666666667,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.9691780654392536,0.2463612742933148
2024-03-18,97.01,431.9,405.99,6666,7786,1451,28.483333333333334,32.5,84.9775,0.0,0.3333333333333333,0.625,0.041666666666666664,0.0,0.9732643737003824,0.22968774213179574
2024-03-19,97.01,380.7,357.86,6934,8191,1275,28.025000000000002,31.9,81.84333333333333,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.9770638564833508,0.21294651993841582
2024-03-20,97.01,388.7,365.38,6494,8025,1135,27.958333333333332,31.8,80.95583333333333,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.9805753940631429,0.19614254142819698
2024-03-21,97.01,396.8,372.99,7043,8687,1091,28.229166666666668,32.2,82.38583333333334,0.0,0.75,0.25,0.0,0.0,0.9837979515735163,0.17928075881073577
2024-03-22,97.01,239.1,224.75,5866,5287,2429,28.27916666666667,32.2,85.77125000000001,0.0,0.2916666666666667,0.20833333333333334,0.5,0.0,0.9867305793119814,0.162366141330764
2024-03-23,97.01,7.5,7.05,2186,864,1768,26.879166666666666,28.9,92.27458333333334,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.0,0.989372413019683,0.14540367380368976
2024-03-24,97.01,223.3,209.9,6994,9078,919,26.733333333333334,29.700000000000003,86.45708333333334,0.0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,0.9917226741361015,0.12839835514655099
2024-03-25,97.01,394.5,370.83,6132,6493,1830,26.754166666666666,30.5,85.69833333333334,0.0,0.375,0.25,0.375,0.0,0.9937806700284985,0.11135519690480875
2024-03-26,97.01,377.3,354.66,5895,5083,1995,27.420833333333334,31.200000000000003,86.87,0.0,0.125,0.375,0.5,0.0,0.9955457941960382,0.09427922177542453
2024-03-27,97.01,394.0,370.36,5451,5009,2031,26.84583333333333,30.1,87.195,0.0,0.20833333333333334,0.4583333333333333,0.3333333333333333,0.0,0.9970175264485267,0.07717546212664653
2024-03-28,97.01,449.6,422.62,5781,5916,1813,27.358333333333334,31.3,83.62833333333333,0.0,0.2916666666666667,0.375,0.3333333333333333,0.0,0.998195433059714,0.0600489585149486
2024-03-29,97.01,369.8,347.61,5182,4672,2324,27.77916666666667,31.3,83.7025,0.0,0.2916666666666667,0.375,0.3333333333333333,0.0,0.9990791668951153,0.042904758199554374
2024-03-30,97.01,444.5,417.83,6055,6277,1744,27.90833333333333,31.6,86.5625,0.0,0.20833333333333334,0.4583333333333333,0.3333333333333333,0.0,0.999668467514313,0.025747913654988658
2024-03-31,97.01,421.2,395.93,6136,6484,1360,27.266666666666666,30.9,85.62124999999999,0.0,0.25,0.4166666666666667,0.3333333333333333,0.0,0.9999631612477099,0.008583481082087055
2024-04-01,97.01,448.5,421.59,6214,6990,1741,26.454166666666666,30.3,82.57833333333333,0.0,0.20833333333333334,0.7083333333333334,0.08333333333333333,0.0,0.9999631612477099,-0.008583481082086933
2024-04-02,97.01,266.9,250.89,4957,3935,2522,27.391666666666666,31.6,79.97958333333334,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.9996684675143132,-0.025747913654988314
2024-04-03,97.01,275.6,259.06,3746,1755,2485,27.1125,30.700000000000003,89.55166666666666,0.0,0.0,0.25,0.75,0.0,0.9990791668951153,-0.04290475819955447
2024-04-04,97.01,161.0,151.34,6469,8029,1183,27.395833333333332,30.8,83.465,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.998195433059714,-0.06004895851494825
2024-04-05,97.01,314.8,295.91,5609,5946,2039,27.05,31.200000000000003,81.79666666666667,0.0,0.2916666666666667,0.625,0.08333333333333333,0.0,0.9970175264485267,-0.07717546212664618
2024-04-06,97.01,447.9,421.03,6717,8824,1000,26.133333333333336,30.0,77.48125,0.0,0.5,0.5,0.0,0.0,0.9955457941960382,-0.0942792217754244
2024-04-07,97.01,413.4,388.6,6435,8130,1221,26.183333333333334,29.700000000000003,77.49458333333334,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.9937806700284985,-0.11135519690480862
2024-04-08,97.01,387.0,363.78,5295,4929,2059,26.55,30.700000000000003,78.9525,0.0,0.16666666666666666,0.75,0.08333333333333333,0.0,0.9917226741361015,-0.12839835514655107
2024-04-09,97.01,381.7,358.8,5721,6473,1572,27.295833333333334,31.700000000000003,77.94333333333333,0.0,0.20833333333333334,0.4583333333333333,0.3333333333333333,0.0,0.9893724130196829,-0.14540367380368988
2024-04-10,97.01,383.4,360.4,5653,5930,1767,27.724999999999998,32.0,78.80333333333333,0.0,0.125,0.7916666666666666,0.08333333333333333,0.0,0.9867305793119814,-0.16236614133076366
2024-04-11,97.01,406.8,382.39,6334,8420,909,27.59583333333333,31.9,81.68166666666666,0.0,0.375,0.625,0.0,0.0,0.9837979515735163,-0.17928075881073566
2024-04-12,97.01,318.6,299.48,4161,2161,2900,26.75,30.4,84.62708333333333,0.0,0.125,0.8333333333333334,0.041666666666666664,0.0,0.980575394063143,-0.19614254142819687
2024-04-13,97.01,376.5,353.91,5739,6996,1248,26.375,29.700000000000003,81.20583333333333,0.0,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.0,0.9770638564833507,-0.21294651993841593
2024-04-14,97.01,421.6,396.3,5622,6190,1623,26.450000000000003,30.200000000000003,80.59833333333334,0.0,0.625,0.3333333333333333,0.041666666666666664,0.0,0.9732643737003824,-0.22968774213179563
2024-04-15,97.01,387.0,363.78,5626,6467,1533,26.379166666666666,30.0,78.67708333333333,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.9691780654392537,-0.2463612742933147
2024-04-16,97.01,265.0,249.1,6036,7636,1119,26.191666666666666,29.700000000000003,75.68041666666666,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.9648061359537646,-0.26296220265651454
2024-04-17,97.01,398.8,374.87,5290,6151,1748,26.566666666666666,30.6,73.78458333333333,0.0,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.0,0.9601498736716018,-0.2794856348516094
2024-04-18,97.01,331.3,311.42,5182,5226,1639,26.820833333333336,31.4,79.10000000000001,0.0,0.041666666666666664,0.875,0.08333333333333333,0.0,0.9552106508146317,-0.2959267013472892
2024-04-19,97.01,215.3,202.38,2457,508,2089,24.099999999999998,25.9,88.24291666666666,0.0,0.0,0.75,0.25,0.0,0.949989922994501,-0.31228055688579476
2024-04-20,97.01,327.5,307.85,4224,3482,2327,24.78333333333333,28.200000000000003,81.34833333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.9444892287836613,-0.32854238191083474
2024-04-21,97.01,345.0,324.3,4183,2895,2636,24.6125,28.4,81.84125,0.0,0.2916666666666667,0.7083333333333334,0.0,0.0,0.9387101892619443,-0.3447073839879337
2024-04-22,97.01,229.9,216.11,3797,3182,1669,25.616666666666664,29.200000000000003,89.15916666666668,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.9326545075388225,-0.3607707992167831
2024-04-23,97.01,327.5,307.85,5564,7250,1016,26.40833333333333,30.4,84.73375,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.926323968251495,-0.376727893635185
2024-04-24,97.01,367.1,345.07,5879,8113,865,26.870833333333334,31.700000000000003,81.92791666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.9197204370389467,-0.39257396461417177
2024-04-25,97.01,384.2,361.15,4988,4883,2020,26.633333333333336,31.0,84.83875,0.0,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.9128458599921355,-0.40830434224389345
2024-04-26,97.01,182.1,171.17,3123,2354,1866,25.912499999999998,29.8,88.235,0.0,0.25,0.75,0.0,0.0,0.9057022630804715,-0.42391439070986064
2024-04-27,97.01,376.2,353.63,5013,5786,1285,25.175,28.8,77.75416666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.898291751554753,-0.43939950965914143
2024-04-28,97.01,411.2,386.53,5799,8185,838,25.950000000000003,31.3,77.35958333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.8906165093267405,-0.4547551355561055
2024-04-29,97.01,395.4,371.68,5699,7997,847,26.895833333333332,31.9,82.72333333333334,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0,0.8826787983255476,-0.4699767430273197
2024-04-30,97.01,352.6,331.44,5425,7367,1165,26.42916666666667,30.6,79.40791666666667,0.0,0.5,0.5,0.0,0.0,0.8744809578310397,-0.4850598461951961
2024-05-01,97.01,336.3,316.12,5176,6614,1169,26.254166666666666,31.3,78.27625,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.8660254037844387,-0.4999999999999998
2024-05-02,97.01,356.6,335.2,5459,7461,1129,26.55,31.700000000000003,80.47083333333333,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0,0.8573146280763323,-0.5147928015098308
2024-05-03,97.01,393.4,369.8,5693,8199,819,27.099999999999998,32.6,80.84208333333333,0.0,0.9583333333333334,0.041666666666666664,0.0,0.0,0.848351197812304,-0.5294338912181852
2024-05-04,97.01,382.7,359.74,5640,8023,858,26.72083333333333,30.6,80.65125,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8391377545563939,-0.5439189543287246
2024-05-05,97.01,333.3,313.3,5096,6536,1162,26.470833333333335,30.1,84.90083333333332,0.0,0.25,0.75,0.0,0.0,0.8296770135526188,-0.5582437220268649
2024-05-06,97.01,334.9,314.81,5377,6852,1153,26.766666666666666,30.200000000000003,79.95083333333334,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.8199717629247771,-0.5724039727378148
2024-05-07,97.01,247.8,232.93,3618,2612,2227,26.845833333333335,30.8,81.23,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.8100248628547752,-0.5863955333706956
2024-05-08,97.01,307.3,288.86,4353,5296,1674,26.712500000000002,30.6,83.41708333333334,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.7998392447397195,-0.600214280548368
2024-05-09,97.01,229.4,215.64,3908,4156,1567,26.733333333333334,30.5,84.39833333333333,0.0,0.2916666666666667,0.7083333333333334,0.0,0.0,0.7894179103280199,-0.6138561418226116
2024-05-10,97.01,293.9,276.27,3954,2899,2195,26.90416666666667,30.8,82.12583333333333,0.0,0.16666666666666666,0.7916666666666666,0.041666666666666664,0.0,0.7787639308347607,-0.6273170968742938
2024-05-11,97.01,358.2,336.71,5102,6860,933,27.2375,31.700000000000003,76.75541666666668,0.0,0.75,0.20833333333333334,0.041666666666666664,0.0,0.7678804460366001,-0.6405931786981751
2024-05-12,97.01,357.9,336.43,5290,7662,878,27.254166666666666,32.6,76.06875000000001,0.0,0.8333333333333334,0.125,0.041666666666666664,0.0,0.7567706633464627,-0.6536804747720057
