,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-03-05,368.7,5268,3657,2230,27.366666666666664,31.1,89.60000000000001,0.0,5.875,0.8982917515547528,0.4393995096591417
2024-03-06,366.65,7401,8056,1187,27.595833333333335,31.8,86.42416666666666,0.0,3.9166666666666665,0.9057022630804714,0.42391439070986076
2024-03-07,364.6,5835,4530,2458,27.525000000000002,31.3,88.30208333333333,0.0,3.375,0.9128458599921356,0.40830434224389334
2024-03-08,308.2,6254,5333,2003,27.262500000000003,30.9,86.24958333333335,0.0,2.875,0.9197204370389467,0.3925739646141717
2024-03-09,479.3,7434,9161,1066,26.8,30.6,84.895,0.0,1.25,0.926323968251495,0.3767278936351851
2024-03-10,447.5,5674,4801,2037,27.925,32.2,84.38416666666667,0.0,5.5,0.9326545075388224,0.36077079921678346
2024-03-11,267.0,3623,1448,2421,27.195833333333336,29.9,90.06958333333334,0.0,4.791666666666667,0.9387101892619443,0.3447073839879338
2024-03-12,436.7,6184,5768,1841,26.412499999999998,28.9,88.1925,0.0,1.8333333333333333,0.9444892287836613,0.32854238191083485
2024-03-13,343.7,4679,3022,3274,26.345833333333335,29.8,85.4825,0.0,1.875,0.949989922994501,0.3122805568857947
2024-03-14,434.5,7036,8226,1410,27.200000000000003,31.4,84.33833333333334,0.0,0.9583333333333334,0.9552106508146316,0.2959267013472893
2024-03-15,472.4,7340,9139,1025,27.15833333333333,31.4,86.02999999999999,0.0,0.75,0.9601498736716018,0.2794856348516095
2024-03-16,468.7,7142,8553,1171,27.6875,32.300000000000004,83.61166666666666,0.0,0.625,0.9648061359537645,0.2629622026565149
2024-03-17,501.2,7181,8765,1111,28.712500000000002,33.800000000000004,83.74416666666667,0.0,0.75,0.9691780654392536,0.2463612742933148
2024-03-18,431.9,6666,7786,1451,28.483333333333334,32.5,84.9775,0.0,1.2083333333333333,0.9732643737003824,0.22968774213179574
2024-03-19,380.7,6934,8191,1275,28.025000000000002,31.9,81.84333333333333,0.0,1.625,0.9770638564833508,0.21294651993841582
